# Version = 1.0.1, Revision date = 13-Dec-2019
# Energies of bodies read from file SunEarthMars.txt, at each time step.
# Time_step	Potential_energy	Kinetic_energy	Total_energy
5160	-11320437131830879672498476065751040.000000	2828373479847033095138621882630144.000000	-8492063651983846000899101879697408.000000
5161	-11320441806004346676646902038003712.000000	2828375816933515836785582879539200.000000	-8492065989070830839861319158464512.000000
5162	-11320446484170426968109023362023424.000000	2828378156016306951471648462602240.000000	-8492068328154120016637374899421184.000000
5163	-11320451166327135216053907047317504.000000	2828380497094413197320599833149440.000000	-8492070669232722018733307214168064.000000
5164	-11320455852472493007179647744475136.000000	2828382840166840755995465889087488.000000	-8492073012305652251184181855387648.000000
5165	-11320460542604498869754247967145984.000000	2828385185232594656237770921476096.000000	-8492075357371904213516477045669888.000000
5166	-11320465236721169778789783938531328.000000	2828387532290679350328286917951488.000000	-8492077704430489852000744717156352.000000
5167	-11320469934820501956711248958586880.000000	2828389881340096984704776652455936.000000	-8492080053480404972006472306130944.000000
5168	-11320474636900510072687710036819968.000000	2828392232379850282265755202355200.000000	-8492082404520659213961202531041280.000000
5169	-11320479342959188043301151259492352.000000	2828394585408939083605976127897600.000000	-8492084757550248383234422828171264.000000
5170	-11320484052994541314348602781335552.000000	2828396940426362652859440685907968.000000	-8492087112568178661489162095427584.000000
5171	-11320488767004561496569039474917376.000000	2828399297431121983542407043481600.000000	-8492089469573438936565880128012288.000000
5172	-11320493484987244812387454640193536.000000	2828401656422212881024362636902400.000000	-8492091828565031931363092003291136.000000
5173	-11320498206940585178385832363425792.000000	2828404017398632303596299509301248.000000	-8492094189541953451250285157548032.000000
5174	-11320502932862581122832175158263808.000000	2828406380359376056627705096962048.000000	-8492096552503205066204470061301760.000000
5175	-11320507662751208115564393401417728.000000	2828408745303438792566562229321728.000000	-8492098917447769899458583475519488.000000
5176	-11320512396604464684850489606537216.000000	2828411112229813434478596825546752.000000	-8492101284374651826832645084413952.000000
5177	-11320517134420330912214392577720320.000000	2828413481137492905429534804803584.000000	-8492103653282838583245610076340224.000000
5178	-11320521876196789185023040332759040.000000	2828415852025468399102845175988224.000000	-8492106024171320209459442853347328.000000
5179	-11320526621931817278957352462057472.000000	2828418224892731685642749251420160.000000	-8492108397039085593314603210637312.000000
5180	-11320531371623406804756303838183424.000000	2828420599738270499968202219454464.000000	-8492110771885136304788101618728960.000000
5181	-11320536125269521703042758769377280.000000	2828422976561073153458911571869696.000000	-8492113148708448549583847197507584.000000
5182	-11320540882868137443654627632349184.000000	2828425355360127381033832497020928.000000	-8492115527508010062620795135328256.000000
5183	-11320545644417229496429820803809280.000000	2828427736134419188229663272992768.000000	-8492117908282809731739405227393024.000000
5184	-11320550409914768719520230233079808.000000	2828430118882935157043854481293312.000000	-8492120291031832986015623448363008.000000
5185	-11320555179358723665234738655789056.000000	2828432503604656104866333669195776.000000	-8492122675754067560368404986593280.000000
5186	-11320559952747058274196210380177408.000000	2828434890298569190155303721631744.000000	-8492125062448489660501658961969152.000000
5187	-11320564730077741098713528141873152.000000	2828437278963654077379187579027456.000000	-8492127451114087021334340562845696.000000
5188	-11320569511348729161880528608034816.000000	2828439669598892160388665092079616.000000	-8492129841749837001491863515955200.000000
5189	-11320574296557979486791048445820928.000000	2828442062203263680112911504637952.000000	-8492132234354715806678136941182976.000000
5190	-11320579085703462931596979604553728.000000	2828444456775747148098845150281728.000000	-8492134628927715783498134454272000.000000
5191	-11320583878783120378491094255534080.000000	2828446853315320499432632059166720.000000	-8492137025467799302597709892943872.000000
5192	-11320588675794915768096256707002368.000000	2828449251820960516278933654601728.000000	-8492139423973955251817323052400640.000000
5193	-11320593476736796900134266771341312.000000	2828451652291643980802411359895552.000000	-8492141824445152919331855411445760.000000
5194	-11320598281606711574326924260933632.000000	2828454054726344792863965081239552.000000	-8492144226880366205002206876270592.000000
5195	-11320603090402614507925056629243904.000000	2828456459124037428785247028248576.000000	-8492146631278577079139809600995328.000000
5196	-11320607903122444277278426833879040.000000	2828458865483694059044900196843520.000000	-8492149037638750218233526637035520.000000
5197	-11320612719764144070422816259833856.000000	2828461273804286277660815279521792.000000	-8492151445959857216301248676888576.000000
5198	-11320617540325661687080024719491072.000000	2828463684084785102190130665357312.000000	-8492153856240876584889894054133760.000000
5199	-11320622364804931091913796743069696.000000	2828466096324160973729232440000512.000000	-8492156268480769541723811999645696.000000
5200	-11320627193199886249587876860788736.000000	2828468510521381451070745171984384.000000	-8492158682678505374977883992227840.000000
5201	-11320632025508470348138046457643008.000000	2828470926675413516546541126418432.000000	-8492161098833056831591505331224576.000000
5202	-11320636861728617352228050063851520.000000	2828473344785224728949244871835648.000000	-8492163516943392046818052888592384.000000
5203	-11320641701858247391463576927469568.000000	2828475764849782070610728673345536.000000	-8492165937008465320852848254124032.000000
5204	-11320646545895299042194390006104064.000000	2828478186868046759255341761822720.000000	-8492168359027251706478295940857856.000000
5205	-11320651393837694739869187761504256.000000	2828480610838984624293451795529728.000000	-8492170782998710115575735965974528.000000
5206	-11320656245683361531622687082807296.000000	2828483036761557459910160308764672.000000	-8492173208921804071712526774042624.000000
5207	-11320661101430221852903586431762432.000000	2828485464634726483829816532402176.000000	-8492175636795494792613017595936768.000000
5208	-11320665961076193527474565842731008.000000	2828487894457451760855265090469888.000000	-8492178066618741190158548448837632.000000
5209	-11320670824619201296627332991156224.000000	2828490326228694508710855213842432.000000	-8492180498390506787916477777313792.000000
5210	-11320675692057158372438549484011520.000000	2828492759947410756974165402583040.000000	-8492182932109748191925136384851968.000000
5211	-11320680563387977966984876928270336.000000	2828495195612559417526535673872384.000000	-8492185367775418549458341254397952.000000
5212	-11320685438609573292342976930906112.000000	2828497633223095367024039920926720.000000	-8492187805386477925318937009979392.000000
5213	-11320690317719855254746501885198336.000000	2828500072777974058583504340385792.000000	-8492190244941880619702245241389056.000000
5214	-11320695200716734760429104184426496.000000	2828502514276151521782507432312832.000000	-8492192686440583238646596752113664.000000
5215	-11320700087598118103938417794482176.000000	2828504957716579750973361572806656.000000	-8492195129881538929425808525099008.000000
5216	-11320704978361902356450039826481152.000000	2828507403098210164047626834542592.000000	-8492197575263691615941660688515072.000000
5217	-11320709873005998424197622673702912.000000	2828509850419994755357615593619456.000000	-8492200022586003668840007080083456.000000
5218	-11320714771528301072513754233569280.000000	2828512299680883213412631012442112.000000	-8492202471847417859101123221127168.000000
5219	-11320719673926714290103059258277888.000000	2828514750879824073800471646568448.000000	-8492204923046890792763339915132928.000000
5220	-11320724580199130536455116431556608.000000	2828517204015767025030440658403328.000000	-8492207376183362934963923469729792.000000
5221	-11320729490343439965216495223439360.000000	2828519659087658873308079693234176.000000	-8492209831255781668369167833628672.000000
5222	-11320734404357541953405801958735872.000000	2828522116094444118995921182654464.000000	-8492212288263097834409880776081408.000000
5223	-11320739322239322042983587680092160.000000	2828524575035069568299506771951616.000000	-8492214747204253051144833211564032.000000
5224	-11320744243986670387596421857542144.000000	2828527035908477992199111982448640.000000	-8492217208078192395397309875093504.000000
5225	-11320749169597474835047864747425792.000000	2828529498713613891057269245739008.000000	-8492219670883860943990595501686784.000000
5226	-11320754099069611703926430537613312.000000	2828531963449418306471997172875264.000000	-8492222135620193397454433364738048.000000
5227	-11320759032400971147878688698138624.000000	2828534430114832856502066678333440.000000	-8492224602286138291376622019805184.000000
5228	-11320763969589427179650144203177984.000000	2828536898708796276902487159472128.000000	-8492227070880631479208409347129344.000000
5229	-11320768910632865341201348095377408.000000	2828539369230246726967515710226432.000000	-8492229541402618037773080081727488.000000
5230	-11320773855529150421905768494137344.000000	2828541841678124671834418638225408.000000	-8492232013851025750071349855911936.000000
5231	-11320778804276163352037938014715904.000000	2828544316051364812032939216863232.000000	-8492234488224798540004998797852672.000000
5232	-11320783756871775838500352417595392.000000	2828546792348904153935829933228032.000000	-8492236964522871108103770180943872.000000
5233	-11320788713313857282352498249564160.000000	2828549270569677398072834060713984.000000	-8492239442744180460740416492273664.000000
5234	-11320793673600272472967843630022656.000000	2828551750712617515591437962444800.000000	-8492241922887654380915653364154368.000000
5235	-11320798637728890811405875105759232.000000	2828554232776658054099880304967680.000000	-8492244404952232180845242497368064.000000
5236	-11320803605697572475354042368786432.000000	2828556716760731408284895147982848.000000	-8492246888936841643529899524227072.000000
5237	-11320808577504182254185813538504704.000000	2828559202663767090529455034073088.000000	-8492249374840415163656358504431616.000000
5238	-11320813553146575713902619879538688.000000	2828561690484695766138037112668160.000000	-8492251862661880524225335070294016.000000
5239	-11320818532622617643877929511288832.000000	2828564180222445794572109319503872.000000	-8492254352400172425766572495208448.000000
5240	-11320823515930154386741136843603968.000000	2828566671875945535293139590316032.000000	-8492256844054209427908749556711424.000000
5241	-11320828503067043814336682354802688.000000	2828569165444121041919586647146496.000000	-8492259337622922772417095707656192.000000
5242	-11320833494031136880979978882121728.000000	2828571660925898368069909212037120.000000	-8492261833105239089370821973508096.000000
5243	-11320838488820284540986439262797824.000000	2828574158320200685058804489912320.000000	-8492264330500083855927634772885504.000000
5244	-11320843487432333136985457906679808.000000	2828576657625955199426235809660928.000000	-8492266829806377937559222097018880.000000
5245	-11320848489865129011606429223616512.000000	2828579158842082776643891162513408.000000	-8492269331023045658501785757679616.000000
5246	-11320853496116511589949719982374912.000000	2828581661967504858644210843123712.000000	-8492271834149006731305509139251200.000000
5247	-11320858506184327214644724592803840.000000	2828584167001141157977378235875328.000000	-8492274339183186633128098660352000.000000
5248	-11320863520066413004948800609976320.000000	2828586673941913116575833635422208.000000	-8492276846124499311912214671130624.000000
5249	-11320868537760608385962314802659328.000000	2828589182788739294068255819300864.000000	-8492279354971869091894058983358464.000000
5250	-11320873559264748171099615512231936.000000	2828591693540535944240314351353856.000000	-8492281865724212226859301160878080.000000
5251	-11320878584576660256246023438991360.000000	2828594206196219897338431098847232.000000	-8492284378380440358907592340144128.000000
5252	-11320883613694181760658896138010624.000000	2828596720754709136530532535894016.000000	-8492286892939472047667611298693120.000000
5253	-11320888646615140580223554309586944.000000	2828599237214916456837774405795840.000000	-8492289409400224699846532207214592.000000
5254	-11320893683337364610825318654017536.000000	2828601755575755806202817058701312.000000	-8492291927761608804622501595316224.000000
5255	-11320898723858677136663491444211712.000000	2828604275836139403186063934488576.000000	-8492294448022537157016675206299648.000000
5256	-11320903768176903747780384166772736.000000	2828606797994979466347918473035776.000000	-8492296970181924857893217997160448.000000
5257	-11320908816289863116689280667222016.000000	2828609322051185908405774900527104.000000	-8492299494238677784744258070118400.000000
5258	-11320913868195373915903464791080960.000000	2828611848003668642077027443146752.000000	-8492302020191705273826437347934208.000000
5259	-11320918923891261735465248024952832.000000	2828614375851337003618318023655424.000000	-8492304548039924731846930001297408.000000
5260	-11320923983375329106986849718501376.000000	2828616905593096870521774744272896.000000	-8492307077782232812925827277651968.000000
5261	-11320929046645401620510581358329856.000000	2828619437227857002583287224336384.000000	-8492309609417544617927294133993472.000000
5262	-11320934113699279501805653080408064.000000	2828621970754522700834231262642176.000000	-8492312142944756800971421817765888.000000
5263	-11320939184534776811699330302869504.000000	2828624506171997536923725747716096.000000	-8492314678362778698314852251729920.000000
5264	-11320944259149705305175869230153728.000000	2828627043479185082500889568083968.000000	-8492317215670519646214227358646272.000000
5265	-11320949337541862902161470784536576.000000	2828629582674988909214841612271616.000000	-8492319754866873992946629172264960.000000
5266	-11320954419709056745954372743069696.000000	2828632123758310282871691555110912.000000	-8492322295950746463082681187958784.000000
5267	-11320959505649087062323785241722880.000000	2828634666728049316356044464586752.000000	-8492324838921037169506988473712640.000000
5268	-11320964595359754077038918416465920.000000	2828637211583106699013257712107520.000000	-8492327383776647378025660704358400.000000
5269	-11320969688838853404182963975880704.000000	2828639758322380237884927151964160.000000	-8492329930516472589837284520493056.000000
5270	-11320974786084185269525132055937024.000000	2828642306944767740012648638447616.000000	-8492332479139417529512483417489408.000000
5271	-11320979887093533757933568296747008.000000	2828644857449165283055761115578368.000000	-8492335029644368474877807181168640.000000
5272	-11320984991864696789334473620586496.000000	2828647409834469521134355830800384.000000	-8492337582030226691739365486362624.000000
5273	-11320990100395463060282012094955520.000000	2828649964099575378986267121287168.000000	-8492340136295887681295744973668352.000000
5274	-11320995212683614349801320146272256.000000	2828652520243374899045567807094784.000000	-8492342692440238874295000035753984.000000
5275	-11321000328726950883661607910506496.000000	2828655078264761853128587618549760.000000	-8492345250462188454072267988533248.000000
5276	-11321005448523235994143938104524800.000000	2828657638162627707208647072284672.000000	-8492347810360607710474538728816640.000000
5277	-11321010572070265295331502436909056.000000	2828660199935863350798314381508608.000000	-8492350372134401368072435751976960.000000
5278	-11321015699365811342877400479301632.000000	2828662763583358520488653152583680.000000	-8492352935782453398849499630141440.000000
5279	-11321020830407655915806768658120704.000000	2828665329104001223488470081601536.000000	-8492355501303654692318298576519168.000000
5280	-11321025965193571569772706545008640.000000	2828667896496680043467324168077312.000000	-8492358068696891526305382376931328.000000
5281	-11321031103721335472114332138995712.000000	2828670465760281258251765197832192.000000	-8492360637961054790323319244587008.000000
5282	-11321036245988710955112708156948480.000000	2828673036893690569207590653263872.000000	-8492363209095020385905117503684608.000000
5283	-11321041391993475186106952597897216.000000	2828675609895791948318341106499584.000000	-8492365782097682661327859187974144.000000
5284	-11321046541733391497378128178708480.000000	2828678184765470520489061736513536.000000	-8492368356967920976889066442194944.000000
5285	-11321051695206232444579334471024640.000000	2828680761501609104781788508585984.000000	-8492370933704623916258298265862144.000000
5286	-11321056852409747524933578909548544.000000	2828683340103088790876300477726720.000000	-8492373512306658157596526128398336.000000
5287	-11321062013341713905779979493310464.000000	2828685920568789515530872092098560.000000	-8492376092772924966709859704635392.000000
5288	-11321067177999881084341543657013248.000000	2828688502897591791964530103287808.000000	-8492378675102289868837765857148928.000000
5289	-11321072346382012392899334117523456.000000	2828691087088375556935548959457280.000000	-8492381259293636835963785158066176.000000
5290	-11321077518485855022833349095849984.000000	2828693673140016711976936984805376.000000	-8492383845345838310856412111044608.000000
5291	-11321082694309170000581642095165440.000000	2828696261051392311543207110377472.000000	-8492386433257778265499187288211456.000000
5292	-11321087873849711435053238977560576.000000	2828698850821379986549624570642432.000000	-8492389023028331448503614406918144.000000
5293	-11321093057105221905942119536656384.000000	2828701442448853909146940779528192.000000	-8492391614656367996795178757128192.000000
5294	-11321098244073453216314300420849664.000000	2828704035932686522103650240692224.000000	-8492394208140767270671402483580928.000000
5295	-11321103434752147945863761423761408.000000	2828706631271751421109752064638976.000000	-8492396803480397101214761662545920.000000
5296	-11321108629139055591813509980094464.000000	2828709228464921625394493058449408.000000	-8492399400674134542879769225068544.000000
5297	-11321113827231914122171507456081920.000000	2828711827511066695422606208663552.000000	-8492401999720847426748901247418368.000000
5298	-11321119029028463810788724431650816.000000	2828714428409056768119576805244928.000000	-8492404600619407042669147626405888.000000
5299	-11321124234526438013987103845646336.000000	2828717031157761980410890138157056.000000	-8492407203368675457115461404065792.000000
5300	-11321129443723583923146643919077376.000000	2828719635756048433996765373399040.000000	-8492409807967535489149878545678336.000000
5301	-11321134656617625671217250736013312.000000	2828722242202785689341935497510912.000000	-8492412414414839981875315238502400.000000
5302	-11321139873206296614520867235299328.000000	2828724850496836965842858159374336.000000	-8492415022709459072217256772501504.000000
5303	-11321145093487332415222445569474560.000000	2828727460637069518121257131835392.000000	-8492417632850262897101188437639168.000000
5304	-11321150317458454900428882608914432.000000	2828730072622345989112837760352256.000000	-8492420244836108911316044848562176.000000
5305	-11321155545117395120619112078770176.000000	2828732686451530751135562300653568.000000	-8492422858665863793022797474693120.000000
5306	-11321160776461870291214012422029312.000000	2828735302123485294203631491350528.000000	-8492425474338384997010380930678784.000000
5307	-11321166011489611462692517363843072.000000	2828737919637069955409741464207360.000000	-8492428091852541507282775899635712.000000
5308	-11321171250198335850475505347198976.000000	2828740538991146224768092957835264.000000	-8492430711207189625707412389363712.000000
5309	-11321176492585760669983854815084544.000000	2828743160184571557067620586881024.000000	-8492433332401189112916234228203520.000000
5310	-11321181738649600830795434996793344.000000	2828745783216205712940268179685376.000000	-8492435955433395117855166817107968.000000
5311	-11321186988387575854174133549006848.000000	2828748408084904994253465744048128.000000	-8492438580302670859920667804958720.000000
5312	-11321192241797391426325782846242816.000000	2828751034789526855796147894616064.000000	-8492441207007864570529634951626752.000000
5313	-11321197498876762456828252117794816.000000	2828753663328924717131983122071552.000000	-8492443835547837163235516692299776.000000
5314	-11321202759623394631887373738180608.000000	2828756293701953150746144523943936.000000	-8492446465921441481141229214236672.000000
5315	-11321208024035000555238007722999808.000000	2828758925907467882045309804609536.000000	-8492449098127532673192697918390272.000000
5316	-11321213292109278995556958805688320.000000	2828761559944319448289385937633280.000000	-8492451732164960123728325171478528.000000
5317	-11321218563843935639050059360763904.000000	2828764195811358963199032200003584.000000	-8492454368032576675851027160760320.000000
5318	-11321223839236669254394114121662464.000000	2828766833507437540494907868708864.000000	-8492457005729231713899206252953600.000000
5319	-11321229118285185527794955462901760.000000	2828769473031405140976167613890560.000000	-8492459645253780386818787849011200.000000
5320	-11321234400987169392871332835753984.000000	2828772114382109996059709195419648.000000	-8492462286605059396811623640334336.000000
5321	-11321239687340321924143060187348992.000000	2828774757558398607780173462896640.000000	-8492464929781922739902134421028864.000000
5322	-11321244977342344196129951464816640.000000	2828777402559118054632953569345536.000000	-8492467574783226717957750198894592.000000
5323	-11321250270990909613235710050959360.000000	2828780049383114262191938060943360.000000	-8492470221607795351043771990016000.000000
5324	-11321255568283723861666168320294912.000000	2828782698029231426648758573596672.000000	-8492472870254491858556657443274752.000000
5325	-11321260869218469569197066510401536.000000	2828785348496313167734294439788544.000000	-8492475520722156401462772070612992.000000
5326	-11321266173792829363604144858857472.000000	2828788000783201375797168081731584.000000	-8492478173009627987806976777125888.000000
5327	-11321271482004485872663143603240960.000000	2828790654888739094107506528485376.000000	-8492480827115746778555637074755584.000000
5328	-11321276793851124029992812194824192.000000	2828793310811766483631675291992064.000000	-8492483483039357546361136902832128.000000
5329	-11321282109330421851682872443797504.000000	2828795968551123128875287580770304.000000	-8492486140779298146346832559603712.000000
5330	-11321287428440052742137027732963328.000000	2828798628105649767265461210185728.000000	-8492488800334402974871566522777600.000000
5331	-11321292751177701634974027513593856.000000	2828801289474181371621790961369088.000000	-8492491461703520263352236552224768.000000
5332	-11321298077541035017068547527409664.000000	2828803952655556373528385435992064.000000	-8492494124885478643540162091417600.000000
5333	-11321303407527726292824291157213184.000000	2828806617648610322265591718608896.000000	-8492496789879115970558699438604288.000000
5334	-11321308741135446560801952572112896.000000	2828809284452178190653004590350336.000000	-8492499456683267793688195678339072.000000
5335	-11321314078361864613719216727523328.000000	2828811953065094375049466528923648.000000	-8492502125296770815130502502023168.000000
5336	-11321319419204644632607750151471104.000000	2828814623486191542431563101765632.000000	-8492504795718453666636939353128960.000000
5337	-11321324763661450798499219371982848.000000	2828817295714301783315127572889600.000000	-8492507467947149591644844102516736.000000
5338	-11321330111729944986582281703391232.000000	2828819969748257188215993206308864.000000	-8492510141981687221905536193658880.000000
5339	-11321335463407789072045594460028928.000000	2828822645586886388885479445495808.000000	-8492512817820902106699362711109632.000000
5340	-11321340818692642624234805742534656.000000	2828825323229018017074905733922816.000000	-8492515495463625183620652312035328.000000
5341	-11321346177582155989123526796771328.000000	2828828002673482433917848425332736.000000	-8492518174908673555205678371438592.000000
5342	-11321351540073993347743424150765568.000000	2828830683919104812401113142657024.000000	-8492520856154888535342311008108544.000000
5343	-11321356906165798128539081409298432.000000	2828833366964713207815267025944576.000000	-8492523539201084920723814383353856.000000
5344	-11321362275855227595013137459314688.000000	2828836051809132216686363394703360.000000	-8492526224046095954787526368034816.000000
5345	-11321367649139925175610175905595392.000000	2828838738451185859079703265017856.000000	-8492528910688738740069720337154048.000000
5346	-11321373026017538910460798780309504.000000	2828841426889699884442844563243008.000000	-8492531599127838449557201913643008.000000
5347	-11321378406485719145538617329319936.000000	2828844117123494277615822181498880.000000	-8492534289362224867922795147821056.000000
5348	-11321383790542104697602196730019840.000000	2828846809151391329281680225599488.000000	-8492536981390713944781268807843840.000000
5349	-11321389178184334383410102159802368.000000	2828849502972211600741205891088384.000000	-8492539675212122782668896268713984.000000
5350	-11321394569410053937249926437142528.000000	2828852198584774500373681766662144.000000	-8492542370825280013336996973903872.000000
5351	-11321399964216895258351207098351616.000000	2828854895987898860097638137593856.000000	-8492545068228996974714321264181248.000000
5352	-11321405362602494857629500107128832.000000	2828857595180401782449348378886144.000000	-8492547767422093075180151728242688.000000
5353	-11321410764564489246000361427173376.000000	2828860296161102099347342775812096.000000	-8492550468403386570192266347937792.000000
5354	-11321416170100505711007310167408640.000000	2828862998928812878102628579409920.000000	-8492553171171693409365433891422208.000000
5355	-11321421579208176151879883864145920.000000	2828865703482351221251479164682240.000000	-8492555875725824930628404699463680.000000
5356	-11321426991885127856161601626308608.000000	2828868409820529043183397175820288.000000	-8492558582064598236517452147064832.000000
5357	-11321432408128992723082000990208000.000000	2828871117942162293513151380979712.000000	-8492561290186830429568849609228288.000000
5358	-11321437827937384205126545782603776.000000	2828873827846060004326482907234304.000000	-8492564000091324777260815178792960.000000
5359	-11321443251307929589838755112419328.000000	2828876539531034666473646702198784.000000	-8492566711776894923365108410220544.000000
5360	-11321448678238251553076129661190144.000000	2828879252995895888501136196370432.000000	-8492569425242355664574993464819712.000000
5361	-11321454108725963547324133255675904.000000	2828881968239453855416197123670016.000000	-8492572140486510268368688435429376.000000
5362	-11321459542768685942597257363718144.000000	2828884685260515869922313700900864.000000	-8492574857508170072674943662817280.000000
5363	-11321464980364029885537956598382592.000000	2828887404057889234722970144866304.000000	-8492577576306140650814986453516288.000000
5364	-11321470421509611134474704000122880.000000	2828890124630380099600146065522688.000000	-8492580296879231034874557934600192.000000
5365	-11321475866203040836049954182004736.000000	2828892846976795190796573376249856.000000	-8492583019226245645253380805754880.000000
5366	-11321481314441925525220143329705984.000000	2828895571095937199329717866463232.000000	-8492585743345987749429673159819264.000000
5367	-11321486766223876348627726056292352.000000	2828898296986612274981559146119168.000000	-8492588469237264073646166910173184.000000
5368	-11321492221546490617857101692665856.000000	2828901024647619073544296880668672.000000	-8492591196898872120773557115420672.000000
5369	-11321497680407374867864706424504320.000000	2828903754077761438956901466374144.000000	-8492593926329614005368557261553664.000000
5370	-11321503142804135633606976437485568.000000	2828906485275840332854581782380544.000000	-8492596657528295300752394655105024.000000
5371	-11321508608734370226668311062511616.000000	2828909218240654987490289797562368.000000	-8492599390493715815638773568372736.000000
5372	-11321514078195671346947091203096576.000000	2828911952971004058656225177370624.000000	-8492602125224667288290866025725952.000000
5373	-11321519551185636306027716190142464.000000	2828914689465686202144587587256320.000000	-8492604861719950680343880906309632.000000
5374	-11321525027701862415494585354551296.000000	2828917427723498920826072085823488.000000	-8492607599978363494668513268727808.000000
5375	-11321530507741942375246079599837184.000000	2828920167743235682346107607711744.000000	-8492610339998706692899971992125440.000000
5376	-11321535991303461967651552188432384.000000	2828922909523692836653884604678144.000000	-8492613081779768554536915280330752.000000
5377	-11321541478384011586766374810157056.000000	2828925653063664427855584314785792.000000	-8492615825320346582450038191947776.000000
5378	-11321546968981177014959900727443456.000000	2828928398361945076518140279521280.000000	-8492618570619231361981008144498688.000000
5379	-11321552463092539422915464775335936.000000	2828931145417324791522467612983296.000000	-8492621317675214631392997162352640.000000
5380	-11321557960715691510531447857348608.000000	2828933894228595311131738339540992.000000	-8492624066487096199399709517807616.000000
5381	-11321563461848200613433129526362112.000000	2828936644794547797148372180140032.000000	-8492626817053652816284757346222080.000000
5382	-11321568966487652513989863044808704.000000	2828939397113971681992531945455616.000000	-8492629569373680831997331099353088.000000
5383	-11321574474631628382884983247732736.000000	2828942151185654092241371232468992.000000	-8492632323445974290643612015263744.000000
5384	-11321579986277697861586778901708800.000000	2828944907008383307393548245008384.000000	-8492635079269314554193230656700416.000000
5385	-11321585501423432897406547987005440.000000	2828947664580947030486968883478528.000000	-8492637836842485290458826800103424.000000
5386	-11321591020066407743498597697585152.000000	2828950423902129505795025227743232.000000	-8492640596164278237703572469841920.000000
5387	-11321596542204192041331216800022528.000000	2828953184970716706973366267936768.000000	-8492643357233475910818602835509248.000000
5388	-11321602067834348514843666419810304.000000	2828955947785491148913127173652480.000000	-8492646120048857365930539246157824.000000
5389	-11321607596954453723033262964604928.000000	2828958712345235922966195417907200.000000	-8492648884609217800067067546697728.000000
5390	-11321613129562061166467230705123328.000000	2828961478648734120484458473717760.000000	-8492651650913327045982772231405568.000000
5391	-11321618665654735874927839980552192.000000	2828964246694766526976794600407040.000000	-8492654418959968771490293076721664.000000
5392	-11321624205230038266511342702690304.000000	2828967016482111622109072843603968.000000	-8492657188747926644402269859086336.000000
5393	-11321629748285528759313990783336448.000000	2828969788009550767850923766054912.000000	-8492659960275977415002314713858048.000000
5394	-11321635294818763159746017706901504.000000	2828972561275860138025207199694848.000000	-8492662733542902445260058203783168.000000
5395	-11321640844827292662531638530408448.000000	2828975336279818788758544493576192.000000	-8492665508547473873773094036832256.000000
5396	-11321646398308675379924095951962112.000000	2828978113020201740952290872786944.000000	-8492668285288474215432557382598656.000000
5397	-11321651955260455589118577387503616.000000	2828980891495786321350810776109056.000000	-8492671063764669844228518914818048.000000
5398	-11321657515680189096525316321443840.000000	2828983671705345821473202518360064.000000	-8492673843974843275052113803083776.000000
5399	-11321663079565420179339500169723904.000000	2828986453647652379917059807510528.000000	-8492676625917767799422440362213376.000000
5400	-11321668646913693114756316348284928.000000	2828989237321481017583737868648448.000000	-8492679409592212097172578479636480.000000
5401	-11321674217722552179970952273068032.000000	2828992022725602720149325802897408.000000	-8492682194996949459821626470170624.000000
5402	-11321679791989537040492576932626432.000000	2828994809858787896829160407957504.000000	-8492684982130748567202664221245440.000000
5403	-11321685369712191973516377742901248.000000	2828997598719806380377826178105344.000000	-8492687770992385016677799261372416.000000
5404	-11321690950888054338708514478751744.000000	2829000389307428003549907607617536.000000	-8492690561580626335158606871134208.000000
5405	-11321696535514656884049128487649280.000000	2829003181620419716796227673653248.000000	-8492693353894237743713653117419520.000000
5406	-11321702123589532357518361117065216.000000	2829005975657549047028361656795136.000000	-8492696147931983310489999460270080.000000
5407	-11321707715110222730468390569246720.000000	2829008771417582944697132534202368.000000	-8492698943692639785771258035044352.000000
5408	-11321713310074246915821302909501440.000000	2829011568899287207331858676187136.000000	-8492701741174959708489444233314304.000000
5409	-11321718908479142273243257912688640.000000	2829014368101424173697344632520704.000000	-8492704540377718676006665583591424.000000
5410	-11321724510322432327342360071503872.000000	2829017169022758488401404166668288.000000	-8492707341299673838940955904835584.000000
5411	-11321730115601640602726713878642688.000000	2829019971662052490208841828401152.000000	-8492710143939588112517872050241536.000000
5412	-11321735724314292929847433040494592.000000	2829022776018067364962957560643584.000000	-8492712948296225564884475479851008.000000
5413	-11321741336457910527469612836061184.000000	2829025582089564874967803609743360.000000	-8492715754368345652501809226317824.000000
5414	-11321746952030010002672330116956160.000000	2829028389875304476684423008354304.000000	-8492718562154705525987907108601856.000000
5415	-11321752571028112574220680162181120.000000	2829031199374043897191601878859776.000000	-8492721371654069253489830586744832.000000
5416	-11321758193449732543350730609655808.000000	2829034010584543169411135557337088.000000	-8492724182865189373939595052318720.000000
5417	-11321763819292384211298549097299968.000000	2829036823505557714578800952475648.000000	-8492726995786826496719748144824320.000000
5418	-11321769448553581879300203263033344.000000	2829039638135843530391127276388352.000000	-8492729810417737772448323683221504.000000
5419	-11321775081230835236905742317387776.000000	2829042454474157191005396044611584.000000	-8492732626756678045900346272776192.000000
5420	-11321780717321649361979197043507200.000000	2829045272519251235353622648717312.000000	-8492735444802398703086326698213376.000000
5421	-11321786356823533944070616651923456.000000	2829048092269880508210831693971456.000000	-8492738264553653435859784957952000.000000
